n_chains,eps_AB,delta_eps,shell_q,S_psi_mean,S_psi_sem
144,0.7,0.3,1.456276568,0.7714831181,0.003516431774
144,0.7,0.3,1.484017662,0.7527749779,0.0107779526
144,0.6,0.4,0.2855993321,877.0962343,12.03231085
144,0.6,0.4,0.4038984489,30.14184743,2.781986891
144,0.6,0.4,0.4946725539,24.99683058,6.520052065
144,0.6,0.4,0.5711986643,18.57624902,3.925698946
144,0.6,0.4,0.638619521,7.240964979,0.5828810787
144,0.6,0.4,0.6995726346,4.272166244,0.5386923774
144,0.6,0.4,0.8077968978,2.9703861,0.2007333149
144,0.6,0.4,0.8567979964,4.601365244,0.3100001709
144,0.6,0.4,0.9031443878,3.364322839,0.2085042064
144,0.6,0.4,0.9472258251,2.240082872,0.06164885086
144,0.6,0.4,0.9893451078,1.521265972,0.2000933866
144,0.6,0.4,1.029743036,1.415688318,0.07173244054
144,0.6,0.4,1.068614851,1.32963681,0.06296721867
144,0.6,0.4,1.142397329,2.664103154,0.8121322949
144,0.6,0.4,1.177556213,1.210099448,0.0394051361
144,0.6,0.4,1.211695347,1.058637331,0.03987753993
144,0.6,0.4,1.244898627,0.9102604721,0.05127657208
144,0.6,0.4,1.277239042,0.8799268564,0.01094153865
144,0.6,0.4,1.308780558,0.8458538594,0.02550233977
144,0.6,0.4,1.339579608,0.7656253123,0.02616957631
144,0.6,0.4,1.399145269,0.7316531968,0.01883854712
144,0.6,0.4,1.427996661,0.7507263094,0.02105282199
144,0.6,0.4,1.456276568,0.7073821406,0.009138053587
144,0.6,0.4,1.484017662,0.6992502701,0.02005703757
144,0.5,0.5,0.2855993321,902.7871734,14.00851164
144,0.5,0.5,0.4038984489,28.39231909,6.089857448
144,0.5,0.5,0.4946725539,26.39962437,3.796853442
144,0.5,0.5,0.5711986643,16.1825759,4.749331343
144,0.5,0.5,0.638619521,7.609114154,0.9644315082
144,0.5,0.5,0.6995726346,3.980941977,0.2406960804
144,0.5,0.5,0.8077968978,2.793294518,0.147027703
144,0.5,0.5,0.8567979964,4.391592984,0.218981451
144,0.5,0.5,0.9031443878,2.566822168,0.1608700869
144,0.5,0.5,0.9472258251,2.146139613,0.03522934731
144,0.5,0.5,0.9893451078,1.45137925,0.1004268735
144,0.5,0.5,1.029743036,1.319742109,0.05785957141
144,0.5,0.5,1.068614851,1.241834278,0.02821503477
144,0.5,0.5,1.142397329,2.673401145,0.9160020663
144,0.5,0.5,1.177556213,1.133239534,0.05133713141
144,0.5,0.5,1.211695347,1.010427639,0.04483958848
144,0.5,0.5,1.244898627,0.8500415112,0.02414896443
144,0.5,0.5,1.277239042,0.8190681217,0.007739378513
144,0.5,0.5,1.308780558,0.7945396679,0.009369164508
144,0.5,0.5,1.339579608,0.7199112616,0.006603089973
144,0.5,0.5,1.399145269,0.6778146171,0.01254352063
144,0.5,0.5,1.427996661,0.6796519968,0.01384084033
144,0.5,0.5,1.456276568,0.6401939061,0.007119571774
144,0.5,0.5,1.484017662,0.6392552682,0.01667406464
144,0.3,0.7,0.2855993321,980.1606421,8.353247765
144,0.3,0.7,0.4038984489,16.98740135,1.899402503
144,0.3,0.7,0.4946725539,17.69614355,6.643344579
144,0.3,0.7,0.5711986643,12.1953724,2.167767264
144,0.3,0.7,0.638619521,4.824945884,0.6046042742
144,0.3,0.7,0.6995726346,2.840700921,0.3008972626
144,0.3,0.7,0.8077968978,2.097882722,0.02674456202
144,0.3,0.7,0.8567979964,4.280905135,0.2336907042
144,0.3,0.7,0.9031443878,2.108021526,0.08277380097
144,0.3,0.7,0.9472258251,1.620413835,0.08053939381
144,0.3,0.7,0.9893451078,1.120515173,0.08740793501
144,0.3,0.7,1.029743036,1.079773886,0.02804440839
144,0.3,0.7,1.068614851,1.013413957,0.02930995039
144,0.3,0.7,1.142397329,2.724464822,0.5846294165
144,0.3,0.7,1.177556213,0.9294076533,0.01214834458
144,0.3,0.7,1.211695347,0.8439747152,0.01083597944
144,0.3,0.7,1.244898627,0.7248343163,0.01244487444
144,0.3,0.7,1.277239042,0.7307739815,0.008842821827
144,0.3,0.7,1.308780558,0.6874009071,0.01148383243
144,0.3,0.7,1.339579608,0.6360250321,0.01603026088
144,0.3,0.7,1.399145269,0.5951008357,0.008897523078
144,0.3,0.7,1.427996661,0.6090362727,0.02443322137
144,0.3,0.7,1.456276568,0.5784748738,0.007631267257
144,0.3,0.7,1.484017662,0.5756857721,0.005496006121
144,0.1,0.9,0.2855993321,1020.000689,19.23173041
144,0.1,0.9,0.4038984489,9.084760233,1.651213702
144,0.1,0.9,0.4946725539,14.77070265,9.724040791
144,0.1,0.9,0.5711986643,4.951374636,0.7318335578
144,0.1,0.9,0.638619521,4.549883087,1.083716418
144,0.1,0.9,0.6995726346,2.600979893,0.2872991862
144,0.1,0.9,0.8077968978,1.737254018,0.05789273165
144,0.1,0.9,0.8567979964,3.084270872,0.2479068624
144,0.1,0.9,0.9031443878,1.791404449,0.1264258129
144,0.1,0.9,0.9472258251,1.445218062,0.09731744246
144,0.1,0.9,0.9893451078,1.131088748,0.1262196157
144,0.1,0.9,1.029743036,1.054221207,0.01260835617
144,0.1,0.9,1.068614851,0.9435833577,0.01183323692
