n_chains,eps_AB,delta_eps,q_peak,lag_time,F_psi_mean,F_psi_sem
144,1,0,0.2855993321,545,0.91307416,0.01490197007
144,1,0,0.2855993321,547.5,0.9128013302,0.01495788899
144,1,0,0.2855993321,550,0.9125302765,0.01500220871
144,1,0,0.2855993321,552.5,0.9122599412,0.01506075625
144,1,0,0.2855993321,555,0.9119939574,0.01511076428
144,1,0,0.2855993321,557.5,0.9117464607,0.01515322635
144,1,0,0.2855993321,560,0.911487441,0.01519860551
144,1,0,0.2855993321,562.5,0.9112619986,0.01523667479
144,1,0,0.2855993321,565,0.9110194396,0.01528896258
144,1,0,0.2855993321,567.5,0.9107756114,0.01533426923
144,1,0,0.2855993321,570,0.9105413855,0.01537747211
144,1,0,0.2855993321,572.5,0.9103264343,0.01541532379
144,1,0,0.2855993321,575,0.9101002702,0.01545280079
144,1,0,0.2855993321,577.5,0.9098912834,0.01549539369
144,1,0,0.2855993321,580,0.9096604193,0.01553434785
144,1,0,0.2855993321,582.5,0.9094126742,0.01558232631
144,1,0,0.2855993321,585,0.9091578371,0.01563881739
144,1,0,0.2855993321,587.5,0.9089189643,0.01568343557
144,1,0,0.2855993321,590,0.9086779156,0.01573844047
144,1,0,0.2855993321,592.5,0.9084149398,0.01578018388
144,1,0,0.2855993321,595,0.9081667872,0.01583264857
144,1,0,0.2855993321,597.5,0.9078912871,0.01590348076
144,1,0,0.2855993321,600,0.9076251002,0.01598076649
144,1,0,0.2855993321,602.5,0.9073497684,0.01603458489
144,1,0,0.2855993321,605,0.9070729594,0.01608857306
144,1,0,0.2855993321,607.5,0.9067888745,0.01615498177
144,1,0,0.2855993321,610,0.9064930973,0.01622796178
144,1,0,0.2855993321,612.5,0.9062128857,0.01628780781
144,1,0,0.2855993321,615,0.9059420803,0.01632954375
144,1,0,0.2855993321,617.5,0.905663056,0.01639527969
144,1,0,0.2855993321,620,0.9053664249,0.01646982437
144,1,0,0.2855993321,622.5,0.9050898407,0.01654086678
144,1,0,0.2855993321,625,0.9048392581,0.01660586098
144,1,0,0.2855993321,627.5,0.9046077699,0.01665182757
144,1,0,0.2855993321,630,0.904371467,0.01669782418
144,1,0,0.2855993321,632.5,0.9041441714,0.01672035647
144,1,0,0.2855993321,635,0.9039096802,0.01675072144
144,1,0,0.2855993321,637.5,0.9036844977,0.01678914835
144,1,0,0.2855993321,640,0.9034636564,0.01683219865
144,1,0,0.2855993321,642.5,0.9032327452,0.01686966402
144,1,0,0.2855993321,645,0.9029805698,0.01690179846
144,1,0,0.2855993321,647.5,0.902755851,0.01692613884
144,1,0,0.2855993321,650,0.9025275069,0.01694114716
144,1,0,0.2855993321,652.5,0.9022747313,0.01696435135
144,1,0,0.2855993321,655,0.9020223057,0.01698597881
144,1,0,0.2855993321,657.5,0.9017769759,0.01700540338
144,1,0,0.2855993321,660,0.9015345615,0.01702016173
144,1,0,0.2855993321,662.5,0.9012561851,0.01704261837
144,1,0,0.2855993321,665,0.9009599478,0.01707378986
144,1,0,0.2855993321,667.5,0.9006282585,0.01712350324
144,1,0,0.2855993321,670,0.9003275431,0.01716439945
144,1,0,0.2855993321,672.5,0.9000374798,0.0172092395
144,1,0,0.2855993321,675,0.8997691048,0.01726287199
144,1,0,0.2855993321,677.5,0.8994923395,0.01731284259
144,1,0,0.2855993321,680,0.8991813281,0.01734810853
144,1,0,0.2855993321,682.5,0.8988963849,0.01738158675
