n_chains,eps_AB,delta_eps,shell_q,S_psi_mean,S_psi_sem
144,0.775,0.225,1.244898627,2.631548687,0.1111628104
144,0.775,0.225,1.277239042,2.580301039,0.05584471435
144,0.775,0.225,1.308780558,2.593499939,0.1419883372
144,0.775,0.225,1.339579608,2.259746635,0.2689874399
144,0.775,0.225,1.399145269,2.086855307,0.05587969668
144,0.775,0.225,1.427996661,2.040603675,0.04347261634
144,0.775,0.225,1.456276568,1.813214771,0.08278698584
144,0.775,0.225,1.484017662,1.726593493,0.08620673729
144,0.75,0.25,0.2855993321,15.64085403,2.949636008
144,0.75,0.25,0.4038984489,15.73294619,1.212270765
144,0.75,0.25,0.4946725539,25.13409555,7.428081427
144,0.75,0.25,0.5711986643,14.84303939,3.739144174
144,0.75,0.25,0.638619521,13.59432398,1.826459654
144,0.75,0.25,0.6995726346,16.86165511,1.714015577
144,0.75,0.25,0.8077968978,9.431821005,1.139377466
144,0.75,0.25,0.8567979964,12.3129442,1.315749708
144,0.75,0.25,0.9031443878,7.297299857,1.692448565
144,0.75,0.25,0.9472258251,6.561195515,0.3463620957
144,0.75,0.25,0.9893451078,9.579844976,2.18900215
144,0.75,0.25,1.029743036,6.143633713,0.8943356131
144,0.75,0.25,1.068614851,4.729791232,0.4154057754
144,0.75,0.25,1.142397329,3.78317846,0.8491063914
144,0.75,0.25,1.177556213,3.29167029,0.2966712348
144,0.75,0.25,1.211695347,3.652524062,0.2393530279
144,0.75,0.25,1.244898627,2.892589728,0.1281196538
144,0.75,0.25,1.277239042,2.927009865,0.2855807042
144,0.75,0.25,1.308780558,2.492903726,0.210001537
144,0.75,0.25,1.339579608,2.162782724,0.1206368213
144,0.75,0.25,1.399145269,2.244875162,0.3305259884
144,0.75,0.25,1.427996661,1.932687897,0.1578545256
144,0.75,0.25,1.456276568,1.790780315,0.08672353017
144,0.75,0.25,1.484017662,1.777135927,0.07859660514
144,0.725,0.275,0.2855993321,10.41782757,1.782513042
144,0.725,0.275,0.4038984489,19.9075462,4.51212457
144,0.725,0.275,0.4946725539,15.3410736,3.826686267
144,0.725,0.275,0.5711986643,28.11249688,7.495431648
144,0.725,0.275,0.638619521,17.60225856,1.98026548
144,0.725,0.275,0.6995726346,16.16810808,3.185950562
144,0.725,0.275,0.8077968978,11.85960406,3.908398041
144,0.725,0.275,0.8567979964,12.54356457,0.739617581
144,0.725,0.275,0.9031443878,9.205697387,1.154306084
144,0.725,0.275,0.9472258251,9.750048185,1.444201447
144,0.725,0.275,0.9893451078,6.22132067,0.7774469215
144,0.725,0.275,1.029743036,5.470964732,0.3862448489
144,0.725,0.275,1.068614851,4.844431416,0.3726481942
144,0.725,0.275,1.142397329,5.969781815,0.9171983077
144,0.725,0.275,1.177556213,3.490806424,0.09547893248
144,0.725,0.275,1.211695347,3.3271946,0.3855449866
144,0.725,0.275,1.244898627,3.226932648,0.4393095163
144,0.725,0.275,1.277239042,2.597844124,0.2250893599
