n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,0.55,0.45,1.029743036,,
144,0.55,0.45,1.068614851,,
144,0.55,0.45,1.142397329,,
144,0.55,0.45,1.177556213,,
144,0.55,0.45,1.211695347,,
144,0.55,0.45,1.244898627,228.7828401,5.068577729
144,0.55,0.45,1.277239042,210.4342863,
144,0.55,0.45,1.308780558,227.0351946,
144,0.55,0.45,1.339579608,216.7230987,42.32928901
144,0.55,0.45,1.399145269,186.4947133,14.27112085
144,0.55,0.45,1.427996661,141.874249,13.68884805
144,0.55,0.45,1.456276568,215.5244423,26.22622769
144,0.55,0.45,1.484017662,107.8361539,9.059096036
144,0.525,0.475,0.2855993321,,
144,0.525,0.475,0.4038984489,,
144,0.525,0.475,0.4946725539,,
144,0.525,0.475,0.5711986643,,
144,0.525,0.475,0.638619521,,
144,0.525,0.475,0.6995726346,,
144,0.525,0.475,0.8077968978,,
144,0.525,0.475,0.8567979964,,
144,0.525,0.475,0.9031443878,,
144,0.525,0.475,0.9472258251,,
144,0.525,0.475,0.9893451078,,
144,0.525,0.475,1.029743036,,
144,0.525,0.475,1.068614851,,
144,0.525,0.475,1.142397329,179.0291494,
144,0.525,0.475,1.177556213,,
144,0.525,0.475,1.211695347,,
144,0.525,0.475,1.244898627,,
144,0.525,0.475,1.277239042,,
144,0.525,0.475,1.308780558,297.7043092,
144,0.525,0.475,1.339579608,271.0584574,11.6956413
144,0.525,0.475,1.399145269,172.7446606,22.55174933
144,0.525,0.475,1.427996661,221.2020071,40.83069458
144,0.525,0.475,1.456276568,193.0393273,33.94697539
144,0.525,0.475,1.484017662,166.9859345,25.50590183
144,0.5,0.5,0.2855993321,,
144,0.5,0.5,0.4038984489,,
144,0.5,0.5,0.4946725539,,
144,0.5,0.5,0.5711986643,,
144,0.5,0.5,0.638619521,,
144,0.5,0.5,0.6995726346,,
144,0.5,0.5,0.8077968978,,
144,0.5,0.5,0.8567979964,,
144,0.5,0.5,0.9031443878,,
144,0.5,0.5,0.9472258251,,
144,0.5,0.5,0.9893451078,,
144,0.5,0.5,1.029743036,,
144,0.5,0.5,1.068614851,,
144,0.5,0.5,1.142397329,,
144,0.5,0.5,1.177556213,,
144,0.5,0.5,1.211695347,,
144,0.5,0.5,1.244898627,246.3320888,
144,0.5,0.5,1.277239042,,
144,0.5,0.5,1.308780558,274.4461515,4.985685401
144,0.5,0.5,1.339579608,245.613089,29.94910588
144,0.5,0.5,1.399145269,167.1540938,35.9805881
144,0.5,0.5,1.427996661,187.877895,45.36878508
144,0.5,0.5,1.456276568,167.4264406,41.60805226
144,0.5,0.5,1.484017662,157.0703504,37.82471629
144,0.475,0.525,0.2855993321,,
144,0.475,0.525,0.4038984489,,
144,0.475,0.525,0.4946725539,,
144,0.475,0.525,0.5711986643,,
144,0.475,0.525,0.638619521,,
144,0.475,0.525,0.6995726346,,
144,0.475,0.525,0.8077968978,,
144,0.475,0.525,0.8567979964,,
144,0.475,0.525,0.9031443878,,
144,0.475,0.525,0.9472258251,,
144,0.475,0.525,0.9893451078,,
144,0.475,0.525,1.029743036,,
144,0.475,0.525,1.068614851,,
144,0.475,0.525,1.142397329,202.5727096,32.16269608
144,0.475,0.525,1.177556213,,
144,0.475,0.525,1.211695347,,
144,0.475,0.525,1.244898627,263.6459224,45.8110337
144,0.475,0.525,1.277239042,,
144,0.475,0.525,1.308780558,212.9671743,
144,0.475,0.525,1.339579608,221.1058088,17.74232501
144,0.475,0.525,1.399145269,199.4641279,19.15139166
144,0.475,0.525,1.427996661,212.3549077,34.7089181
144,0.475,0.525,1.456276568,189.9979951,23.18632487
144,0.475,0.525,1.484017662,118.4067938,20.65761699
