run_index,run_id,n_chains,kappa,pi,seed,shell_index,shell_n2,degeneracy,q,q_units,S_AA,S_BB,S_AB,S_CC,S_psi_psi_over_2,S_psi_psi_over_2_early,S_psi_psi_over_2_early_to_final_change,S_psi_psi_over_2_final_window_slope_per_step,diagnostic_AA_minus_AB
11,M0288_N40_kappa0_pi0p990_seed2,288,0,0.98999999999999999,2,31,37,24,1.3788426793820738,nm^-1,0.4787514013957358,0.51840525314471142,0.067239915844079706,0.86267682285228775,0.43133841142614388,0.54832067980965893,-0.11698226838351505,-6.3203175849435521e-06,0.41151148555165606
11,M0288_N40_kappa0_pi0p990_seed2,288,0,0.98999999999999999,2,32,38,72,1.3973514629803248,nm^-1,0.54935649019757671,0.37376774577812277,-0.039376195308836369,1.0018766265933723,0.50093831329668614,0.5165231453817517,-0.015584832085065559,3.7395648991657881e-06,0.58873268550641311
11,M0288_N40_kappa0_pi0p990_seed2,288,0,0.98999999999999999,2,33,40,24,1.4336523512723329,nm^-1,0.51878345270840198,0.35593659677883599,-0.028150318714730914,0.9310206869166997,0.46551034345834985,0.56626827362413101,-0.10075793016578116,-2.710535611847177e-05,0.54693377142313293
11,M0288_N40_kappa0_pi0p990_seed2,288,0,0.98999999999999999,2,34,41,96,1.451462380124406,nm^-1,0.54736782412063312,0.49799374495452636,0.0099952565182195273,1.0253710560387206,0.51268552801936029,0.41627671151691992,0.096408816502440375,4.8812434036253424e-06,0.53737256760241359
11,M0288_N40_kappa0_pi0p990_seed2,288,0,0.98999999999999999,2,35,42,48,1.4690565058989811,nm^-1,0.49580479818590939,0.50128166486868264,0.014551071086420283,0.96798432088175157,0.48399216044087578,0.5441516230621577,-0.060159462621281912,-3.8460770250729187e-05,0.4812537270994891
11,M0288_N40_kappa0_pi0p990_seed2,288,0,0.98999999999999999,2,36,43,24,1.486442395160956,nm^-1,0.43402018562348027,0.41344617230614683,0.03031286019672691,0.78684063753617317,0.39342031876808659,0.54426536929405389,-0.15084505052596731,4.5478609695389818e-06,0.40370732542675336
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,0,1,6,0.22668034014381841,nm^-1,114.19385078818451,116.75860843110081,114.95937000563622,1.0337192080128574,0.51685960400642872,0.42348437595065935,0.093375228055769366,1.4875868079116674e-05,-0.76551921745171114
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,1,2,12,0.32057441135473436,nm^-1,33.738506450948208,29.600198550142075,30.339529239874206,2.6596465213418568,1.3298232606709284,1.4472190713245259,-0.1173958106535975,4.2227626232549257e-06,3.3989772110740013
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,2,3,8,0.39262186620608847,nm^-1,6.8272257424447389,4.350430285822652,4.5377741437967902,2.1021077406738105,1.0510538703369052,0.93813584640179426,0.11291802393511097,2.0109341315741675e-05,2.2894515986479487
12,M0288_N40_kappa0_pi0p990_seed3,288,0,0.98999999999999999,3,3,4,6,0.45336068028763682,nm^-1,4.8248078961687222,6.9157336870647201,3.6893479435828689,4.3618456960677054,2.1809228480338527,2.3847387387794123,-0.20381589074555961,-4.7534418095073668e-05,1.1354599525858533
