run_index,run_id,n_chains,chain_length,n_beads,box_size,bead_density,kappa,pi,seed,realized_f_A,sequence_balance_attempts,n_early_frames,n_final_frames,early_first_step,early_last_step,final_first_step,final_last_step,secondary_per_seed_max_metric,secondary_per_seed_max_k_star,secondary_per_seed_max_k_star_units,secondary_per_seed_max_amplitude,secondary_per_seed_max_boundary,secondary_per_seed_max_early_to_final_change,secondary_per_seed_max_final_window_slope_per_step,diagnostic_AA_minus_AB_at_secondary_per_seed_max_k_star,diagnostic_AA_minus_AB_k_star,diagnostic_AA_minus_AB_peak_amplitude,primary_condition_selected_shell_index,primary_condition_selected_k_star,primary_condition_selected_k_star_units,primary_condition_selected_boundary,primary_at_condition_selected_shell_final,primary_at_condition_selected_shell_early,primary_at_condition_selected_shell_early_to_final_change,primary_at_condition_selected_shell_final_window_slope_per_step
20,M0576_N40_kappa0_pi0p990_seed1,576,40,23040,34.922823143300384,0.54094665664913621,0,0.98999999999999999,1,0.5,326,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.0943881598748775,nm^-1,8.7483106060387676,none,-0.97013641665302686,-1.3736039005403291e-05,8.5372962218287984,1.0943881598748775,8.5372962218287984,29,1.0643992158579185,nm^-1,none,5.8039493386378878,5.1914007948547738,0.61254854378311396,-4.1024870016284512e-05
21,M0576_N40_kappa0_pi0p990_seed2,576,40,23040,34.922823143300384,0.54094665664913621,0,0.98999999999999999,2,0.5,51,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.4393304416192265,nm^-1,0.64723316300963363,none,0.042663697037600867,0.00011084965716250818,0.71687221265826484,1.4393304416192265,0.71687221265826484,29,1.0643992158579185,nm^-1,none,0.55274417428795952,0.495376528196452,0.057367646091507518,1.2282413673872975e-05
22,M0576_N40_kappa0_pi0p990_seed3,576,40,23040,34.922823143300384,0.54094665664913621,0,0.98999999999999999,3,0.5,44,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.9688789550056528,nm^-1,7.8556834662230699,none,0.013692426785103962,-8.3568233398120082e-05,7.5718896170742109,0.9688789550056528,7.5718896170742109,29,1.0643992158579185,nm^-1,none,6.8318388233613891,6.3036284095434727,0.52821041381791645,4.143153435835848e-06
23,M0576_N40_kappa0_pi0p990_seed4,576,40,23040,34.922823143300384,0.54094665664913621,0,0.98999999999999999,4,0.5,289,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.9173967510405695,nm^-1,6.9002938347685951,none,0.14889073435541889,1.0342823493987817e-05,7.0400869850146819,0.9173967510405695,7.0400869850146819,29,1.0643992158579185,nm^-1,none,6.0041383809045863,6.2866494484872453,-0.28251106758265898,-0.00010864600613130852
24,M0576_N40_kappa0_pi0p990_seed5,576,40,23040,34.922823143300384,0.54094665664913621,0,0.98999999999999999,5,0.5,326,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.0643992158579185,nm^-1,7.5630922292922165,none,0.3695865716791058,-7.8109244305932415e-06,7.3718970091601292,1.0643992158579185,7.3718970091601292,29,1.0643992158579185,nm^-1,none,7.5630922292922165,7.1935056576131107,0.3695865716791058,-7.8109244305932415e-06
25,M0576_N40_kappa1_pi0p990_seed1,576,40,23040,34.922823143300384,0.54094665664913621,1,0.98999999999999999,1,0.5,374,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.31162418172063122,nm^-1,657.11258153246581,none,11.414079560513528,0.0029509397505125962,473.5588593214012,0.25444007890929582,672.28109761840631,1,0.25444007890929582,nm^-1,none,583.01739697357368,594.10159790100647,-11.084200927432789,-0.0024677700137372013
26,M0576_N40_kappa1_pi0p990_seed2,576,40,23040,34.922823143300384,0.54094665664913621,1,0.98999999999999999,2,0.5,336,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],1.2464967268825249,nm^-1,0.84591876785594233,none,0.32473830236592971,3.5405527993762532e-05,0.66313351899978612,0.71966522080961326,0.69052279226454638,1,0.25444007890929582,nm^-1,none,0.33977429466320253,0.51338823511894693,-0.17361394045574441,3.265235998406091e-05
27,M0576_N40_kappa1_pi0p990_seed3,576,40,23040,34.922823143300384,0.54094665664913621,1,0.98999999999999999,3,0.5,1644,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.25444007890929582,nm^-1,751.58357918967454,none,-8.6311969344794761,-0.0012499633828804944,889.36830089605132,0.25444007890929582,889.36830089605132,1,0.25444007890929582,nm^-1,none,751.58357918967454,760.21477612415401,-8.6311969344794761,-0.0012499633828804944
28,M0576_N40_kappa1_pi0p990_seed4,576,40,23040,34.922823143300384,0.54094665664913621,1,0.98999999999999999,4,0.5,541,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.25444007890929582,nm^-1,822.60397230466731,none,14.886477863290111,0.0013910035122337752,861.70487403767595,0.25444007890929582,861.70487403767595,1,0.25444007890929582,nm^-1,none,822.60397230466731,807.7174944413772,14.886477863290111,0.0013910035122337752
29,M0576_N40_kappa1_pi0p990_seed5,576,40,23040,34.922823143300384,0.54094665664913621,1,0.98999999999999999,5,0.5,71,5,5,232000,240000,242000,250000,max_exact_shell mean_final_frames[S_psi_psi^(N)(q)/2],0.17991630520240331,nm^-1,768.27017878226957,q_min,27.656248778949703,0.002106225608260522,680.64846974849843,0.17991630520240331,680.64846974849843,1,0.25444007890929582,nm^-1,none,582.18658742813818,586.35849226319613,-4.1719048350579442,-6.5739318423834624e-05
