N,kappa,pi,seed,contrast,SAA,k_star_c,E,Rg
32,1.0,0.99,4,0.00046806978044437877,0.00046732534906263285,1.0827744251663491,2.757746147474498e+18,7645848.003062096
32,1.0,0.9,1,0.0174721050024772,0.01369024905257012,0.7734103036902493,-20552.200716018677,2.3427338074781776
32,1.0,0.9,2,0.01362424943654829,0.012143577836610289,0.7734103036902493,-20251.9262714386,2.416086445633933
32,1.0,0.9,3,0.018902613594236145,0.013648898759612237,0.7734103036902493,-20382.447432518005,2.3257346029471844
32,1.0,0.9,4,0.000552822866568446,0.0005464907791062635,1.392138546642449,2.4277025522288374e+18,7504895.066968277
48,0.0,0.99,1,0.007149048268008395,0.01910317198702076,1.2161003820347587,-26583.182136535645,2.7861660971541413
48,0.0,0.99,2,0.006959441897013693,0.015026685763347234,1.2161003820347587,-26586.30182647705,2.8745764360200656
48,0.0,0.99,3,0.006686676962602325,0.012426191638887838,1.2161003820347587,-26816.234001159668,2.8729773540060624
48,0.0,0.99,4,0.007180328665657927,0.017299671708380874,1.2161003820347587,-26311.89691925049,2.778846379051862
48,0.0,0.9,1,0.006550601492381795,0.0174085907521776,1.2161003820347587,-26375.319221496586,2.798115267590146
48,0.0,0.9,2,0.0061194339549459405,0.016800298248355022,1.2161003820347587,-26125.09823989868,2.8690035199975985
48,0.0,0.9,3,0.005887168177158381,0.012587064871798018,1.2161003820347587,-26458.918502807617,2.8830217399465736
48,0.0,0.9,4,0.007023412669013523,0.020605471640820296,1.2161003820347587,-26358.61540222168,2.789369860133785
48,0.3,0.99,1,0.009987915225856157,0.022061329052020903,1.2161003820347587,-27543.072330474857,2.779637202705443
48,0.3,0.99,2,0.011513505248717611,0.02110179876859352,0.6756113233526437,-27288.333393096924,2.828376530999641
48,0.3,0.99,3,0.009980400400574092,0.017911882113107062,0.6756113233526437,-27833.019004821777,2.8516348258728064
48,0.3,0.99,4,0.008037044893400605,0.018968897254631932,1.2161003820347587,-26944.262588500977,2.7681674523051374
48,0.3,0.9,1,0.008340401816941175,0.01828329058397051,1.2161003820347587,-27056.4080657959,2.7854813598753188
48,0.3,0.9,2,0.009272627381515762,0.016103122222513037,1.2161003820347587,-27212.22875213623,2.866450691166188
48,0.3,0.9,3,0.008332440529491713,0.01596224994265109,1.2161003820347587,-26895.90921020508,2.8712813950339613
48,0.3,0.9,4,0.00859768254656449,0.021008020446278725,1.2161003820347587,-26817.59045791626,2.7678303232640418
48,0.6,0.99,1,0.016893838015593188,0.02552387706220548,0.9458558526937011,-28976.214614868164,2.7341533176540502
48,0.6,0.99,2,0.026622517438836805,0.029312672709639546,0.6756113233526437,-28860.48525238037,2.82878472110379
48,0.6,0.99,3,0.02272749194594905,0.0244886656845704,0.6756113233526437,-29009.774185180664,2.8312265986006717
48,0.6,0.99,4,0.017772502957063077,0.025413768844232444,0.6756113233526437,-28894.877990722656,2.738738207849103
48,0.6,0.9,1,0.013193824444899492,0.02202756632708958,0.9458558526937011,-28256.283515930176,2.7646866297891246
48,0.6,0.9,2,0.013267569736601231,0.020101056745734237,0.9458558526937011,-27411.167922973633,2.867157619604366
48,0.6,0.9,3,0.010479276570179781,0.01764357334465993,1.2161003820347587,-27712.275848388672,2.8715964754794094
48,0.6,0.9,4,0.011520584045464216,0.019319627415602874,1.2161003820347587,-27837.56049346924,2.780327361947271
48,0.9,0.99,1,0.04707491440112768,0.038697080202369054,0.6756113233526437,-31442.56933259964,2.7003002004054006
48,0.9,0.99,2,0.056406613463499705,0.04370187753810193,0.6756113233526437,-31889.71910667419,2.732521348559301
48,0.9,0.99,3,0.04549722054255807,0.03307451586666227,0.6756113233526437,-31794.982948303223,2.814097655199477
48,0.9,0.99,4,0.048089355850072256,0.04126310558982957,0.6756113233526437,-31468.232124328613,2.7117602500435
48,0.9,0.9,1,0.020156180393081435,0.02554526551453028,0.9458558526937011,-29292.81427764893,2.846945673739966
48,0.9,0.9,2,0.026810080886049636,0.022773219612266478,0.9458558526937011,-29598.746990203857,2.852089143951733
48,0.9,0.9,3,0.0184624766413625,0.021002038972591792,0.6756113233526437,-29588.42990875244,2.9027120257168977
48,0.9,0.9,4,0.01954759243130304,0.021663135355767495,0.9458558526937011,-29352.85053253174,2.835232825434759
48,1.0,0.99,1,0.06823148845850022,0.047959849631802304,0.6756113233526437,-33049.26443576813,2.7718818997301824
48,1.0,0.99,2,0.0750856553299919,0.05405537381783374,0.6756113233526437,-33790.05237579346,2.77092279120662
48,1.0,0.99,3,0.0898935696616234,0.06582295459104907,0.6756113233526437,-33272.058937072754,2.6800140738396383
48,1.0,0.99,4,0.07285137900297461,0.04900909545702178,0.6756113233526437,-32908.10846328735,2.7867238165542836
48,1.0,0.9,1,0.024576879059145747,0.023719547250968743,0.9458558526937011,-29490.931858062744,2.9606877268128957
48,1.0,0.9,2,0.03714890418192936,0.03880932300702952,0.6756113233526437,-29874.881929397583,2.887801529891755
48,1.0,0.9,3,0.03149130580322244,0.03482725951609504,0.6756113233526437,-29980.734184265137,2.8541268687611376
48,1.0,0.9,4,0.029462791819536475,0.02713807109736014,0.6756113233526437,-30604.789001464844,2.9105709526806987
64,0.0,0.99,1,0.013163869789866762,0.043232993786928256,1.3504306052945574,-35251.80978393555,3.312271400158797
64,0.0,0.99,2,0.012632526084368495,0.04071849329653891,1.3504306052945574,-35621.02705383301,3.2447730302271736
64,0.0,0.99,3,0.0025204240966955876,0.002464038275566579,0.859364930641991,4.889280601233304e+18,10714771.43197042
64,0.0,0.99,4,0.01257930951324812,0.026882673899454524,1.3504306052945574,-35459.74597930908,3.1671783595004035
