N,kappa,pi,seed,contrast,SAA,k_star_c,E,Rg
16,0.9,0.9,4,0.002195102261164802,0.0035465581476506977,0.5846636452090185,-10095.700731277466,1.680642682718502
16,1.0,0.99,1,0.015293001969511461,0.01132843455919173,0.5846636452090185,-11490.216570734978,1.5903462881476065
16,1.0,0.99,2,0.009547258158964136,0.00913181680967506,0.5846636452090185,-11029.816923856735,1.6385765895681423
16,1.0,0.99,3,0.01066917316418434,0.008280690389374195,0.5846636452090185,-10993.391027450562,1.5931519017270033
16,1.0,0.99,4,0.0001390650621468794,0.00013165966693896047,0.5846636452090185,1.219247227922041e+18,5270112.21373144
16,1.0,0.9,1,0.003917778767236805,0.004688117665969051,0.9744394086816974,-10462.423318862917,1.749724419548749
16,1.0,0.9,2,0.003975523047674799,0.004962327888490001,0.9744394086816974,-10459.81169128418,1.7432335953098896
16,1.0,0.9,3,0.0033217883940903628,0.003267867741496018,0.9744394086816974,-10504.103978157043,1.7601019822150652
16,1.0,0.9,4,0.000140259526907443,0.00014895275107809462,0.9744394086816974,1.1529834118945818e+18,5155761.182276988
24,0.0,0.99,1,0.0020628643697844277,0.011359415980799143,1.1919321720936886,-13368.878177642822,2.0939454632461216
24,0.0,0.99,2,0.002176028707808888,0.00902249115912627,1.1919321720936886,-13344.656047821043,2.073745212855263
24,0.0,0.99,3,0.0020154593228448106,0.009558237020655233,1.1919321720936886,-13537.51282119751,2.0451591225936077
24,0.0,0.99,4,0.002216726725034494,0.008503505134984189,1.1919321720936886,-13352.168256759644,2.058243065172177
24,0.0,0.9,1,0.00186256013672909,0.010518273327447281,1.1919321720936886,-13301.57122516632,2.073039848499237
24,0.0,0.9,2,0.0019089785716557826,0.008799738212219792,1.1919321720936886,-13268.011636734009,2.076127832791213
24,0.0,0.9,3,0.0020011245681630712,0.00998390081946124,1.1919321720936886,-13380.604570388794,2.0511800651396968
24,0.0,0.9,4,0.0019062108505801853,0.009572897432988637,1.1919321720936886,-13236.154396057129,2.0166188067833715
24,0.3,0.99,1,0.00240974071183821,0.012834341162024046,1.1919321720936886,-13580.531366825104,2.0897640530027246
24,0.3,0.99,2,0.0030082086493335245,0.011080767028717367,0.510828073754438,-13694.26781463623,2.0999960157064015
24,0.3,0.99,3,0.00038092247666595016,0.00038203937488421913,1.1919321720936886,1.9784194975204503e+18,6384714.854677938
24,0.3,0.99,4,0.002079747533369518,0.007769273744661298,1.1919321720936886,-13480.228801727297,2.0128214454174493
24,0.3,0.9,1,0.002412878114300868,0.012543566704821135,1.1919321720936886,-13510.511085987093,2.0898744340912523
24,0.3,0.9,2,0.0032587860608703405,0.009383661380726063,1.1919321720936886,-13675.595790863035,2.0832962258858845
24,0.3,0.9,3,0.0003705444294996756,0.00036484859648507767,1.1919321720936886,1.847245859426629e+18,6469874.892833223
24,0.3,0.9,4,0.002072791222056229,0.008580744414411121,1.1919321720936886,-13424.158752441406,2.063526448103026
24,0.6,0.99,1,0.006694105567772361,0.015332341371625136,0.510828073754438,-14522.755063056946,2.042441802681514
24,0.6,0.99,2,0.007596012886463914,0.014375926474705768,0.510828073754438,-14690.824401378632,2.0778680373000773
24,0.6,0.99,3,0.00035234456143049344,0.0003456869898195587,0.510828073754438,1.875291665449244e+18,6824685.140053888
24,0.6,0.99,4,0.004299492207688313,0.007065543046634208,0.8513801229240632,-14319.933038711548,1.9652397578769256
24,0.6,0.9,1,0.003017161691941602,0.012855504201174258,0.510828073754438,-13875.471111297607,2.06018945485216
24,0.6,0.9,2,0.0033575146957278913,0.009492476233779,1.1919321720936886,-13924.659196853638,2.1291303348687185
24,0.6,0.9,3,0.00034504587103037114,0.000375950247951494,0.510828073754438,7.4651258422648126e+22,6816724.991702303
24,0.6,0.9,4,0.003303997588140247,0.006064263327007614,1.1919321720936886,-13948.751302719116,2.068668285774644
24,0.9,0.99,1,0.01985965479242079,0.0209215685963555,0.510828073754438,-15561.591791152954,2.023681837693013
24,0.9,0.99,2,0.0003819200886033482,0.00037790106579296226,0.8513801229240632,2.044575235383247e+18,6440351.494409061
24,0.9,0.99,3,0.009828803362802742,0.011167762782083151,0.510828073754438,-15490.088375091553,1.9491237611863843
24,0.9,0.99,4,0.011835362415838133,0.009905551725800989,0.510828073754438,-15596.90982723236,1.9755155091348915
24,0.9,0.9,1,0.006944355951648937,0.012664884785728001,0.8513801229240632,-14754.32695198059,2.1229683706563507
24,0.9,0.9,2,0.006307399262267576,0.007452304209198369,0.8513801229240632,-14713.97073173523,2.1216969366685348
24,0.9,0.9,3,0.0003332461596268684,0.0003359002312088769,1.5324842212633136,1.7805235176888822e+18,6537637.049797969
24,0.9,0.9,4,0.005586746510472355,0.007962584170179157,0.8513801229240632,-15054.497042655945,2.119328596911286
24,1.0,0.99,1,0.025784177831226024,0.020071694210303838,0.510828073754438,-16338.747485518456,1.9422028264079896
24,1.0,0.99,2,0.024416447690537274,0.020985659893021386,0.510828073754438,-15996.416006565094,1.9579913626669905
24,1.0,0.99,3,0.015785255715211517,0.015432010300917653,0.510828073754438,-16130.692810058594,1.9961561163047732
24,1.0,0.99,4,0.02857966691984372,0.021014053526828152,0.510828073754438,-16700.90331363678,1.9303490455040144
24,1.0,0.9,1,0.007003758824429914,0.012095867929375628,0.8513801229240632,-15195.44418144226,2.092476845553933
