L,rho,kappa,eps,seed,contrast,SAA,k_star_c,E,Rg
36.0,0.12345679012345678,0.0,0.2,3,0.017160655648415936,0.12051291854356205,1.4835298641951802,-20027.19993591309,1.9768848451698124
36.0,0.12345679012345678,0.5,0.005,1,0.02622018264102587,0.150373428029158,0.9599310885968813,-20683.897968292236,1.93650743763488
36.0,0.12345679012345678,0.5,0.005,2,0.026982717239714488,0.1099998765079451,0.7853981633974483,-20945.94234085083,1.895013793253456
36.0,0.12345679012345678,0.5,0.005,3,0.02389733016189906,0.15369710862101382,1.1344640137963142,-20333.554286956787,1.8595625308085053
36.0,0.12345679012345678,0.5,0.02,1,0.032772186706346795,0.11848722831500824,0.9599310885968813,-20647.960342407227,2.0422727625505845
36.0,0.12345679012345678,0.5,0.02,2,0.03518988578854251,0.12908433966097183,0.6108652381980153,-20707.18406677246,2.0147665838017623
36.0,0.12345679012345678,0.5,0.02,3,0.033514259346092305,0.13550784267773544,0.7853981633974483,-20122.79250526428,1.9510405285890835
36.0,0.12345679012345678,0.5,0.05,1,0.03444414139383803,0.10656931839462888,0.9599310885968813,-21009.2654876709,2.023789087742708
36.0,0.12345679012345678,0.5,0.05,2,0.031774432461989084,0.11491528280438232,1.1344640137963142,-21037.169189453125,2.0195469862240074
36.0,0.12345679012345678,0.5,0.05,3,0.0301490314499577,0.1394432277443293,0.9599310885968813,-20137.31359577179,1.988278947307838
36.0,0.12345679012345678,0.5,0.1,1,0.03198493063877032,0.11245416509034575,0.9599310885968813,-20798.032997131348,2.0441487091605777
36.0,0.12345679012345678,0.5,0.1,2,0.028556643336945797,0.12111162394985202,0.9599310885968813,-20623.91040611267,2.040188953066146
36.0,0.12345679012345678,0.5,0.1,3,0.03178954986405978,0.12959488296463273,0.7853981633974483,-19994.362998008728,1.990489513087096
36.0,0.12345679012345678,0.5,0.2,1,0.03115747195062527,0.10679558599813817,0.9599310885968813,-21064.2287940979,2.0656436680310657
36.0,0.12345679012345678,0.5,0.2,2,0.029303359343954713,0.12218690673319851,0.7853981633974483,-21601.10068893433,2.0280898330593127
36.0,0.12345679012345678,0.5,0.2,3,0.030864234445468805,0.12339836196355651,0.9599310885968813,-21212.870292663574,2.0089189796010154
36.0,0.12345679012345678,0.8,0.005,1,0.05999412707312943,0.10564470728587343,0.7853981633974483,-22400.073040008545,1.9923205584351489
36.0,0.12345679012345678,0.8,0.005,2,0.07363264820582413,0.13986429913431112,0.7853981633974483,-22019.155046463013,1.999086113484748
36.0,0.12345679012345678,0.8,0.005,3,0.06102329189501193,0.13216630439974425,0.7853981633974483,-21503.56953239441,1.941973040947361
36.0,0.12345679012345678,0.8,0.02,1,0.051817936270492956,0.1291533589228093,0.9599310885968813,-21570.310817718502,2.0805024743400446
36.0,0.12345679012345678,0.8,0.02,2,0.07917660717331666,0.13447916626875153,0.7853981633974483,-21826.687730789185,2.07022714688193
36.0,0.12345679012345678,0.8,0.02,3,0.054997365266498795,0.1451261712905575,0.9599310885968813,-20981.477144241333,2.004626944735319
36.0,0.12345679012345678,0.8,0.05,1,0.05612334499863589,0.1101696032809645,0.7853981633974483,-21559.00168991089,2.082798144144647
36.0,0.12345679012345678,0.8,0.05,2,0.05840695200606193,0.12266404945829004,0.7853981633974483,-21895.220200538635,2.0356088566249193
36.0,0.12345679012345678,0.8,0.05,3,0.05698779869138084,0.13356799381150197,0.9599310885968813,-21069.68821716309,2.0052618802987165
36.0,0.12345679012345678,0.8,0.1,1,0.05548010185676313,0.09128766878127886,0.7853981633974483,-21862.02087020874,2.103361282740249
36.0,0.12345679012345678,0.8,0.1,2,0.0590049001824197,0.12466192161317902,0.7853981633974483,-22186.55422592163,2.0625425954570384
36.0,0.12345679012345678,0.8,0.1,3,0.05644801106571504,0.1715277971625105,0.6108652381980153,-21550.10749053955,1.9955903347598576
36.0,0.12345679012345678,0.8,0.2,1,0.06256433806268709,0.1077164595335407,0.9599310885968813,-23249.71030807495,2.104692508641885
36.0,0.12345679012345678,0.8,0.2,2,0.055148186903773,0.12774911220301507,0.7853981633974483,-22155.424703598022,2.0386307077700647
36.0,0.12345679012345678,0.8,0.2,3,0.05229145417551413,0.1593540036500078,0.7853981633974483,-21805.928386688232,2.0112547466072623
36.0,0.12345679012345678,0.95,0.005,1,0.09300078240986201,0.1358106577954655,0.7853981633974483,-22457.3980884552,2.0892561308837196
36.0,0.12345679012345678,0.95,0.005,2,0.09980811138659906,0.140570610859751,0.7853981633974483,-22703.5931763649,2.0694176661486825
36.0,0.12345679012345678,0.95,0.005,3,0.07806487486834783,0.17458635749521847,0.6108652381980153,-21859.942699432373,1.9931663456841415
36.0,0.12345679012345678,0.95,0.02,1,0.08929730610881965,0.1240644673419756,0.7853981633974483,-22476.307189941406,2.1430237767772744
36.0,0.12345679012345678,0.95,0.02,2,0.10146896287894527,0.12411930985649669,0.7853981633974483,-22556.54190063477,2.089758418167579
36.0,0.12345679012345678,0.95,0.02,3,0.08514641133517863,0.14639071697995748,0.7853981633974483,-22080.03126525879,2.030360321926612
