L,kappa,seed,contrast,SAA,E
22.0,1.0,2,0.02754976639542403,0.023380158030472522,-26023.688945770264
22.0,1.0,3,0.02096401210083201,0.01981163924327586,-25296.52143096924
22.0,1.0,4,0.017252258108008643,0.01777831888924782,-25454.066207885742
25.0,0.0,1,0.006786054112196766,0.026254885085966472,-21622.768409729004
25.0,0.0,2,0.006823251251166153,0.026482678398726527,-21281.766117095947
25.0,0.0,3,0.007007309011191027,0.0252593205862721,-21353.5630569458
25.0,0.0,4,0.007129162509493599,0.027715062144386425,-21233.681552886963
25.0,0.3,1,0.007841738491215087,0.029894192277184945,-21666.606231689453
25.0,0.3,2,0.007851238924482798,0.027390074782239388,-21525.519973754883
25.0,0.3,3,0.008038499867659837,0.015417356524706929,-22108.59782409668
25.0,0.3,4,0.007168531896683862,0.0318304145730534,-21667.90997314453
25.0,0.5,1,0.012090860155096857,0.02604353359939383,-22447.54304218292
25.0,0.5,2,0.010556499660853246,0.02875455139272535,-22310.136249542236
25.0,0.5,3,0.011067410184126183,0.02040298450253644,-22472.44333267212
25.0,0.5,4,0.008788667736202065,0.028773383402296508,-22157.158615112305
25.0,0.7,1,0.013300777817323008,0.031091906224702322,-23172.38914489746
25.0,0.7,2,0.015451602892433964,0.030527574689129634,-22840.448974132534
25.0,0.7,3,0.017896410728521536,0.024971587525134727,-23262.03576660156
25.0,0.7,4,0.016422348290942475,0.031436256543555315,-23020.975883483887
25.0,0.9,1,0.02498570159619215,0.032997619473006154,-23962.99522781372
25.0,0.9,2,0.02318286820889756,0.030672146380137856,-23853.96062850952
25.0,0.9,3,0.0255474034435463,0.03328653897147504,-24105.964458465576
25.0,0.9,4,0.02721363549099901,0.03450095142089273,-23979.043754577637
25.0,1.0,1,0.030977866347181637,0.040029826869664394,-24514.842361450195
25.0,1.0,2,0.04412962837581399,0.04467295219890979,-24837.90239906311
25.0,1.0,3,0.02878208789278219,0.03993175333714792,-24050.042419433594
25.0,1.0,4,0.028378191043091618,0.035598820134377276,-24472.93245315552
28.0,0.0,1,0.009730916547480603,0.05992849654344042,-20526.43260192871
28.0,0.0,2,0.009540041767848808,0.06428834349958812,-20701.018810272217
28.0,0.0,3,0.010837367774633587,0.04875007762925108,-20733.09747695923
28.0,0.0,4,0.010482943899290382,0.05804277854226112,-20803.226196289062
28.0,0.3,1,0.010723213609397562,0.060067481261441014,-20931.4305267334
28.0,0.3,2,0.012867046777514034,0.08675041424066761,-21440.48816680908
28.0,0.3,3,0.012811028124433443,0.05002940822738792,-21899.315349578857
28.0,0.3,4,0.01068786386399427,0.04645467042786895,-20613.849632263184
28.0,0.5,1,0.017963896180316536,0.0604698296652045,-21889.833614349365
28.0,0.5,2,0.014539285366612031,0.07407669123425685,-21500.370666503903
28.0,0.5,3,0.016593600147949666,0.04384156687333998,-21740.49087905884
28.0,0.5,4,0.01170242059891756,0.03862864975113071,-21705.67712402344
28.0,0.7,1,0.023629965779996792,0.051738314621787886,-22223.74563217163
28.0,0.7,2,0.023814511745656398,0.07464888187934333,-22322.496047973633
28.0,0.7,3,0.024613313048891236,0.04269141604829302,-23301.169256210327
28.0,0.7,4,0.01996524642051679,0.03855488383658897,-22250.725505828857
28.0,0.9,1,0.03571405175986543,0.06409346928253665,-23343.34994506836
28.0,0.9,2,0.035093025055655515,0.06123629415966888,-23506.12802505493
28.0,0.9,3,0.04438144911705025,0.05288701491820669,-24293.29264831543
28.0,0.9,4,0.027546896779271662,0.06412550203034274,-23364.884845733643
28.0,1.0,1,0.04765176110952036,0.06274193618432027,-24211.322959899902
28.0,1.0,2,0.052337597284081896,0.07066478643733645,-24167.890865325928
28.0,1.0,3,0.04947603750846247,0.07616008887576191,-23542.831226348877
28.0,1.0,4,0.04717712500709685,0.06354356944836387,-24224.148220062256
32.0,0.0,1,0.014778195383473282,0.05241527385158591,-20736.068801879883
32.0,0.0,2,0.014961831059970291,0.052775944131439725,-20444.023109436035
32.0,0.0,3,0.01749518366335777,0.03589265828064877,-21812.338466644287
32.0,0.0,4,0.014251714770714836,0.06202277900629989,-20566.5584526062
32.0,0.3,1,0.0170460578085203,0.05639849521182846,-20816.5587310791
32.0,0.3,2,0.01742362511025532,0.05334513583903118,-21056.554891586304
32.0,0.3,3,0.019482709884912464,0.05020760792819282,-21224.119567871097
32.0,0.3,4,0.01459163900056191,0.051350167942737536,-20718.51733016968
32.0,0.5,1,0.02273350819605846,0.06351609863709798,-21286.743377685547
32.0,0.5,2,0.025092560369227513,0.05110036867274461,-22120.693397521973
32.0,0.5,3,0.023237320590012246,0.05061545099714321,-21526.987371444706
32.0,0.5,4,0.020056712276960275,0.0662024914522702,-21136.746883392338
32.0,0.7,1,0.030521302556600495,0.0704161171656942,-21504.462928771973
32.0,0.7,2,0.03722591714882903,0.06748431755842142,-22674.251922607426
32.0,0.7,3,0.034187819564611095,0.07100174158451651,-21467.911918640137
32.0,0.7,4,0.031016430678829844,0.0760153294289079,-21760.97211837769
32.0,0.9,1,0.04851808792557674,0.07121148120312382,-23296.5728225708
32.0,0.9,2,0.05709317610527946,0.0759928315155841,-23541.160274505615
32.0,0.9,3,0.0607172435845069,0.08727386448674454,-23076.18133020401
32.0,0.9,4,0.05313925519807881,0.055792829447773126,-23136.506996154785
32.0,1.0,1,0.07471587938251542,0.07834609553169078,-23934.67523574829
32.0,1.0,2,0.08458191767136503,0.08872453058069052,-23303.68953704834
32.0,1.0,3,0.0731599661706155,0.07708183572033364,-23504.050331115723
32.0,1.0,4,0.05931575902834436,0.06019210108840931,-23774.089767456055
36.0,0.0,1,0.020778349755772783,0.14125651839009057,-20060.27416229248
36.0,0.0,2,0.022083022171998687,0.10418975163071638,-20655.31161880493
36.0,0.0,3,0.019690246948684056,0.12584226335883444,-19360.580631256104
36.0,0.0,4,0.02135894169311394,0.1304193754042619,-19641.64805984497
